No Perolehan,ISBN,Title,Author,Publisher,Year,Pages,Price,Language,Type,Dewey,Initial,Quantity,,
00043,9780545808941,Thea Stilton Mouseford Academy: Drama at Mouseford,Thea Stilton; Elisabetta Dami,Scholastic,2014,111,23.90,English,F,FE,THE,1,,
00044,9780545917964,Thea Stilton Mouseford Academy: The Mysterious Love Letter,Thea Stilton,Scholastic,2016,110,23.90,English,F,FE,THE,1,,
00045,9781338182750,Thea Stilton Mouseford Academy: The Royal Ball,Thea Stilton,Scholastic,2017,108,23.90,English,F,FE,THE,1,,
00046,9789831720356,Fables from Around the World Timeless Tales with Timeless Morals. II,Penerbit Arowana,Penerbit Arowana,2001,274,Dihadiahkan,English,F,FE,ARO,1,,
00047,9789831720349,Fables from Around the World Timeless Tales with Timeless Morals. I,Penerbit Arowana,Penerbit Arowana,2001,304,Dihadiahkan,English,F,FE,ARO,2,,
00048,9781626728240,Science Comics : Polar Bears,"Jason Viola, Zack Giallongo",First Second,2019,114,29.90,English,NF,500,JAS,1,,
00049,9781626728257,Science Comics : Rockets ,"Anne Drozd, Jerzy Drozd",First Second,2018,119,29.90,English,NF,500,ANN,1,,
00050,9781250228383,Science Comics : Whales,"Pat Lewis, Casey Zakroff",Roaring Brook Press,2021,128,29.90,English,NF,500,CAS,1,,
00051,9789834384128,The Phantom Runner,J. Y. Gan,Neo Sentuhan,2010,214,Dihadiahkan,English,F,FE,GAN,13,,
00052,9781841354552,Snicker The Brownie,Enid Blyton,Award Publications,2009,192,Dihadiahkan,English,F,FE,BLY,1,,
00053,9781841350653,The Magic Needle ,Enid Blyton,Award Publications Ltd,2001,192,Dihadiahkan,English,F,FE,BLY,1,,
00054,9781841350103,The House with Six Legs,Enid Blyton,Award Publications Limited,2000,192,Dihadiahkan,English,F,FE,BLY,1,,
00055,9781250203953,Science Comics : Rocks and Minerals,Andy Hirsch,First Second,2020,128,29.90,English,NF,500,HIR,1,,
00056,9679712710,Saya Datang Dari Somalia ,Jo Matthews,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,MAT,2,,
00057,9679712745,Saya Datang Dari Palestin,Anita Ganeri,Flo Enterprise Sdn. Bhd.,1995,32,33.00,Malay,NF,900,GAN,1,,
